"filename", "language", "YAML", "Markdown", "CMake", "C++", "Dart", "Swift", "JSON", "HTML", "XML", "Properties", "comment", "blank", "total"
"d:\course\projects\graduation project\civixapp\2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -8392, 0, -1, -54, -8447
"d:\course\projects\graduation project\civixapp\README.md", "Markdown", 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -17
"d:\course\projects\graduation project\civixapp\analysis_options.yaml", "YAML", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -4, -32
"d:\course\projects\graduation project\civixapp\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, -97, 0, 0, 0, 0, 0, -97
"d:\course\projects\graduation project\civixapp\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -4, -1, -8
"d:\course\projects\graduation project\civixapp\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -54, 0, -1, -2, -57
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -1, -10
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -1, -10
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\layout\custom_notification.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -3, -21
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -1, -10
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, -7, -1, -22
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, -9, -1, -23
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, -7, -1, -22
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -4
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, -9, -1, -23
"d:\course\projects\graduation project\civixapp\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -4, -1, -8
"d:\course\projects\graduation project\civixapp\android\build\reports\problems\problems-report.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -548, 0, 0, -2, -114, -664
"d:\course\projects\graduation project\civixapp\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -4
"d:\course\projects\graduation project\civixapp\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"d:\course\projects\graduation project\civixapp\assets\Background.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"d:\course\projects\graduation project\civixapp\assets\Citifixicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"d:\course\projects\graduation project\civixapp\assets\Group2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -1, -19
"d:\course\projects\graduation project\civixapp\assets\active.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\course\projects\graduation project\civixapp\assets\animation\Loading animation blue.json", "JSON", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\course\projects\graduation project\civixapp\assets\animation\Location Pin(1).json", "JSON", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\course\projects\graduation project\civixapp\assets\animation\Location Pin(2).json", "JSON", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\course\projects\graduation project\civixapp\assets\animation\Not Found(1).json", "JSON", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\course\projects\graduation project\civixapp\assets\animation\location loading(1).json", "JSON", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\course\projects\graduation project\civixapp\assets\animation\search imm.json", "JSON", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\course\projects\graduation project\civixapp\assets\camera.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\course\projects\graduation project\civixapp\assets\date.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\course\projects\graduation project\civixapp\assets\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -1, -6
"d:\course\projects\graduation project\civixapp\assets\id_card_24dp_E3E3E3_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"d:\course\projects\graduation project\civixapp\assets\inprogress.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\course\projects\graduation project\civixapp\assets\marker.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -258, 0, -1, -1, -260
"d:\course\projects\graduation project\civixapp\assets\notication.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\course\projects\graduation project\civixapp\assets\notifcationenabled.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"d:\course\projects\graduation project\civixapp\assets\onbroadingimage\1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -11246, 0, -1, -27, -11274
"d:\course\projects\graduation project\civixapp\assets\onbroadingimage\2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -8392, 0, -1, -54, -8447
"d:\course\projects\graduation project\civixapp\assets\onbroadingimage\3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -8168, 0, -1, 0, -8169
"d:\course\projects\graduation project\civixapp\assets\pending.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\course\projects\graduation project\civixapp\assets\profileicons\Frame 34(1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"d:\course\projects\graduation project\civixapp\assets\profileicons\Frame 34.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"d:\course\projects\graduation project\civixapp\assets\profileicons\Frame 36.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"d:\course\projects\graduation project\civixapp\assets\profileicons\Frame 37.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"d:\course\projects\graduation project\civixapp\assets\profileicons\overVeiw.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\course\projects\graduation project\civixapp\assets\resolved.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\course\projects\graduation project\civixapp\devtools_options.yaml", "YAML", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"d:\course\projects\graduation project\civixapp\firebase.json", "JSON", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\course\projects\graduation project\civixapp\flutter_native_splash.yaml", "YAML", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -111, -20, -138
"d:\course\projects\graduation project\civixapp\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -2, -4, -13
"d:\course\projects\graduation project\civixapp\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -2, -14
"d:\course\projects\graduation project\civixapp\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\course\projects\graduation project\civixapp\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, -21, 0, 0, 0, 0, -1, -22
"d:\course\projects\graduation project\civixapp\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, -1, -24
"d:\course\projects\graduation project\civixapp\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5
"d:\course\projects\graduation project\civixapp\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -43, 0, -1, -1, -45
"d:\course\projects\graduation project\civixapp\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, -1, -1, -27
"d:\course\projects\graduation project\civixapp\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\course\projects\graduation project\civixapp\linux\CMakeLists.txt", "CMake", 0, 0, -104, 0, 0, 0, 0, 0, 0, 0, 0, -25, -129
"d:\course\projects\graduation project\civixapp\linux\flutter\CMakeLists.txt", "CMake", 0, 0, -79, 0, 0, 0, 0, 0, 0, 0, 0, -10, -89
"d:\course\projects\graduation project\civixapp\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, -4, -5, -16
"d:\course\projects\graduation project\civixapp\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -5, -6, -16
"d:\course\projects\graduation project\civixapp\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, -6, -25
"d:\course\projects\graduation project\civixapp\linux\runner\CMakeLists.txt", "CMake", 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, -6, -27
"d:\course\projects\graduation project\civixapp\linux\runner\main.cc", "C++", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -2, -7
"d:\course\projects\graduation project\civixapp\linux\runner\my_application.cc", "C++", 0, 0, 0, -91, 0, 0, 0, 0, 0, 0, -25, -29, -145
"d:\course\projects\graduation project\civixapp\linux\runner\my_application.h", "C++", 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, -7, -5, -19
"d:\course\projects\graduation project\civixapp\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, -3, -4, -27
"d:\course\projects\graduation project\civixapp\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -2, -4, -13
"d:\course\projects\graduation project\civixapp\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, -3, -14
"d:\course\projects\graduation project\civixapp\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, -68, 0, 0, 0, 0, 0, -68
"d:\course\projects\graduation project\civixapp\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -343, 0, 0, -1, -344
"d:\course\projects\graduation project\civixapp\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -4, -16
"d:\course\projects\graduation project\civixapp\pubspec.yaml", "YAML", -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, -46, -6, -132
"d:\course\projects\graduation project\civixapp\test\widget_test.dart", "Dart", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, -10, -7, -31
"d:\course\projects\graduation project\civixapp\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -79, 0, 0, -15, -38, -132
"d:\course\projects\graduation project\civixapp\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, -35
"d:\course\projects\graduation project\civixapp\windows\CMakeLists.txt", "CMake", 0, 0, -89, 0, 0, 0, 0, 0, 0, 0, 0, -20, -109
"d:\course\projects\graduation project\civixapp\windows\flutter\CMakeLists.txt", "CMake", 0, 0, -98, 0, 0, 0, 0, 0, 0, 0, 0, -12, -110
"d:\course\projects\graduation project\civixapp\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, -4, -5, -21
"d:\course\projects\graduation project\civixapp\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -5, -6, -16
"d:\course\projects\graduation project\civixapp\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, -6, -28
"d:\course\projects\graduation project\civixapp\windows\runner\CMakeLists.txt", "CMake", 0, 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, -7, -41
"d:\course\projects\graduation project\civixapp\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, -49, 0, 0, 0, 0, 0, 0, -7, -16, -72
"d:\course\projects\graduation project\civixapp\windows\runner\flutter_window.h", "C++", 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, -5, -9, -34
"d:\course\projects\graduation project\civixapp\windows\runner\main.cpp", "C++", 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, -4, -10, -44
"d:\course\projects\graduation project\civixapp\windows\runner\resource.h", "C++", 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, -6, -2, -17
"d:\course\projects\graduation project\civixapp\windows\runner\utils.cpp", "C++", 0, 0, 0, -54, 0, 0, 0, 0, 0, 0, -2, -10, -66
"d:\course\projects\graduation project\civixapp\windows\runner\utils.h", "C++", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -6, -6, -20
"d:\course\projects\graduation project\civixapp\windows\runner\win32_window.cpp", "C++", 0, 0, 0, -210, 0, 0, 0, 0, 0, 0, -24, -55, -289
"d:\course\projects\graduation project\civixapp\windows\runner\win32_window.h", "C++", 0, 0, 0, -48, 0, 0, 0, 0, 0, 0, -31, -24, -103
"Total", "-", -96, -13, -466, -561, -14, -69, -252, -627, -37106, -9, -396, -676, -40285